Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
PR_BC_CONDO_RAIDER_DESC,Text,,"<b>Jump up or down one building level</b>
<i>The world is full of broken elevators and collapsed staircases, and the pros in this business don't use ladders</i>",,,,,,,,
PR_BC_TUNNEL_RAT,Text,,TUNNEL RAT,,,,,,,,
PR_BC_TUNNEL_RAT_DESC,Text,,"<b>Stealth +15%, SPD +1</b>
<i>You spent a good spell in the sewers. You had to be quiet, real quiet... And then run like hell!</i>",,,,,,,,
PR_BC_HUNTER,Text,,HUNTER,,,,,,,,
PR_BC_HUNTER_DESC,Text,,"<b>Accuracy +10%</b>
<i>There used to be game and hunger around these parts</i>",,,,,,,,
PR_BC_TROUBLEMAKER,Text,,TROUBLEMAKER,,,,,,,,
PR_BC_TROUBLEMAKER_DESC,Text,,"<b>Grenades deal +10% damage</b>
<i>You have a knack for irritating the authorities. Maybe that's why you are here? Think about it</i>",,,,,,,,
PR_BC_PARANOID,Text,,PARANOID,,,,,,,,
PR_BC_PARANOID_DESC,Text,,"<b>Perception +4, Hearing Range +10</b>
<i>But you are not, because the monsters are real!</i>",,,,,,,,
PR_BC_TRUE_GRIT,Text,,TRUE GRIT,,,,,,,,
PR_BC_TRUE_GRIT_DESC,Text,,"<b>-10% damage from adjacent enemies</b>
<i>The end of civilization wasn't kind to you, but when things get up close and personal, you just suck it up</i>",,,,,,,,
PR_BC_HISTORY_OF_VIOLENCE,Text,,HISTORY OF VIOLENCE,,,,,,,,
PR_BC_HISTORY_OF_VIOLENCE_DESC,Text,,"<b>Damage +10%, Willpower -3</b>
<i>In the past, you hurt some people. They probably deserved it</i>",,,,,,,,
PR_BC_DAREDEVIL,Text,,DAREDEVIL,,,,,,,,
PR_BC_DAREDEVIL_DESC,Text,,"<b>Damage +10%, Accuracy -10%</b>
<i>In the world you were born to, you have to live dangerously if at all. Strike first, strike hard, aim not</i>",,,,,,,,
PR_BC_DAMAGED_AMYGDALA,Text,,DAMAGED AMYGDALA,,,,,,,,
PR_BC_DAMAGED_AMYGDALA_DESC,Text,,"<b>Gain 'Psychic Resistance'</b>
<i>All brains are different, and yours couldn't take seeing your family return as sea monsters</i>",,,,,,,,
PR_BC_SANITATION_EXPERT,Text,,SANITATION EXPERT,,,,,,,,
PR_BC_SANITATION_EXPERT_DESC,Text,,"<b>Immune to goo</b>
<i>Robots can't do everything. Grime, dirt, slime, ooze, yuck, sludge: you have been through it all and come on the other side</i>",,,,,,,,
PR_BC_LAB_ASSISTANT,Text,,LAB ASSISTANT,,,,,,,,
PR_BC_LAB_ASSISTANT_DESC,Text,,"<b>Acid Resistance</b>
<i>All those little accidents throughout the years have taught you a lot about safely dealing with acid spills</i>",,,,,,,,
PR_BC_ROCKETEER,Text,,ROCKETEER,,,,,,,,
PR_BC_ROCKETEER_DESC,Text,,"<b>Jetpack Proficiency</b>
<i>Since you were a child you dreamt of flying rockets. Perhaps now you can!</i>",,,,,,,,
PR_BC_FRENZY,Text,,FRENZY,,,,,,,,
PR_BC_FRENZY_DESC,Text,,"Instils FRENZY in friendly characters within 20 tiles for 2 turns, increasing their Speed by 33% and making them immune to PANIC.",,,,,,,,
